AREA,DETAILS
RECEPTION & WAITING AREAS,
,Vacuuming or mopping all floor surfaces
,Dusting and wiping all accessible surfaces
,Cleaning glass doors and windows (interior)
,Sanitizing door handles and light switches
,Emptying trash bins and replacing liners
,Dusting and cleaning reception desks
,Arranging magazines and reading materials
,Cleaning and sanitizing water coolers
,
WORKSTATIONS & DESKS,
,Dusting computer monitors and equipment
,Wiping down all desk surfaces and partitions
,Sanitizing keyboards and phones (exterior only)
,Removing fingerprints from surfaces
,Emptying individual waste bins and recycling
,Spot cleaning walls around workstations
,Vacuuming office chairs as needed
,Dusting shelves and filing cabinets
,
MEETING & CONFERENCE ROOMS,
,Cleaning and sanitizing conference tables
,Dusting presentation equipment and TVs
,Arranging chairs and straightening room
,Cleaning whiteboards (if requested)
,Sanitizing remote controls and shared equipment
,Vacuuming carpets or mopping hard floors
,Wiping window sills and blinds
,Emptying trash bins and replacing liners
,
BREAK ROOMS & KITCHENETTES,
,Cleaning and sanitizing all countertops
,Wiping down tables and chairs
,Cleaning microwave interior and exterior
,Wiping down refrigerator exterior
,Cleaning coffee machine exterior
,Washing and sanitizing sinks and faucets
,Restocking paper towels (if provided)
,Sweeping and mopping floors
,Emptying trash and recycling bins
,
RESTROOMS,
,Cleaning and sanitizing all toilet fixtures
,Cleaning and sanitizing sinks and countertops
,Cleaning mirrors and glass surfaces
,Refilling soap dispensers (if provided)
,Restocking toilet paper and paper towels (if provided)
,Emptying trash bins and replacing liners
,Sweeping and mopping floors with disinfectant
,Sanitizing door handles and light switches
,HALLWAYS & COMMON AREAS
,Vacuuming or mopping all floor surfaces
,Dusting baseboards and wall fixtures
,Spot cleaning walls and surfaces
,Cleaning water fountains
,Dusting artificial plants and décor
,Sanitizing handrails and door handles
,Emptying common area trash bins
,
EXECUTIVE OFFICES,
,Detailed dusting of all surfaces
,Cleaning desk and furniture surfaces
,Vacuuming carpets or area rugs
,Polishing wood furniture (if needed)
,Emptying executive waste baskets
,Cleaning glass tabletops and surfaces
,Organizing and straightening as needed
,SERVER ROOMS & IT AREAS
,Light dusting of accessible areas only
,Vacuuming floors (no wet cleaning)
,Emptying trash bins
,Spot cleaning visible areas
,Note: Special care taken around sensitive equipment
,
EXTERIOR AREAS,
,Sweeping entryways and doorsteps
,Cleaning exterior glass doors
,Emptying outdoor ashtrays or trash containers
,Spot cleaning building exterior near entrance
